['city', 'AQI', 'PM2.5/1h', 'PM10/1h', 'CO/1h', 'NO2/1h', 'O3/1h', 'O3/8h', 'SO2/1h']
['长治', '96', '38', '102', '0.6', '14', '149', '153', '7']
['昆山', '96', '43', '74', '0.65', '25', '93', '153', '7']
['苏州', '96', '49', '80', '0.6', '33', '90', '154', '6']
['太仓', '96', '46', '79', '0.7', '39', '87', '153', '32']
['邢台', '96', '47', '115', '0.88', '30', '109', '153', '15']
['新乡', '96', '36', '78', '1.43', '24', '100', '153', '19']
['衡水', '97', '40', '75', '0.6', '16', '132', '155', '10']
['达州', '98', '73', '137', '1.1', '92', '51', '114', '7']
['泸州', '98', '31', '74', '0.53', '54', '73', '156', '13']
['吕梁', '98', '49', '82', '2.1', '53', '110', '156', '50']
['宿迁', '98', '73', '104', '1.08', '39', '94', '147', '14']
['咸阳', '98', '48', '143', '1.05', '98', '12', '122', '13']
['银川', '98', '38', '117', '0.54', '25', '106', '156', '22']
['济宁', '99', '32', '79', '0.83', '22', '117', '157', '27']
['南充', '99', '58', '105', '1.23', '106', '69', '157', '8']
['张家港', '99', '62', '145', '0.95', '77', '29', '152', '25']
['白城', '100', '53', '128', '0.8', '29', '119', '159', '12']
['毕节', '100', '49', '149', '1.15', '83', '22', '108', '85']
['鹤壁', '101', '30', '83', '1.03', '29', '113', '160', '20']
['盘锦', '101', '49', '101', '1.3', '27', '116', '160', '18']
['乌兰察布', '101', '46', '89', '0.3', '18', '142', '160', '22']
['呼和浩特', '102', '40', '151', '0.9', '71', '64', '153', '15']
['洛阳', '102', '49', '81', '1.23', '26', '116', '161', '12']
['绵阳', '102', '47', '99', '0.93', '95', '66', '161', '8']
['淮安', '103', '62', '88', '1.06', '33', '114', '162', '13']
['焦作', '103', '50', '104', '1.08', '26', '97', '162', '9']
['寿光', '103', '76', '131', '1.6', '33', '112', '161', '15']
['雅安', '103', '72', '105', '0.8', '34', '128', '162', '14']
['资阳', '104', '33', '98', '1.04', '70', '64', '163', '9']
['广安', '106', '78', '159', '1.26', '102', '58', '145', '24']
['即墨', '106', '27', '42', '0.7', '12', '145', '165', '4']
['辽源', '106', '38', '58', '0.8', '21', '141', '165', '5']
['四平', '106', '48', '104', '0.77', '17', '125', '165', '8']
['武威', '106', '60', '160', '0.6', '45', '53', '112', '4']
['聊城', '107', '33', '88', '1.07', '25', '114', '166', '11']
['蓬莱', '107', '38', '60', '0.65', '13', '141', '166', '7']
['唐山', '107', '53', '162', '1.02', '86', '81', '166', '25']
['大庆', '108', '61', '163', '0.84', '30', '134', '160', '13']
['济南', '108', '27', '82', '0.73', '17', '141', '167', '14']
['乌海', '108', '46', '120', '1.23', '62', '118', '167', '49']
['宝鸡', '109', '46', '165', '0.9', '86', '24', '108', '5']
['德阳', '109', '50', '166', '0.83', '54', '98', '167', '18']
['南通', '109', '54', '77', '0.64', '32', '76', '168', '16']
['延边州', '109', '81', '119', '0.7', '47', '55', '106', '8']
['赤峰', '110', '48', '168', '1.15', '63', '81', '128', '40']
['鄂尔多斯', '110', '44', '168', '0.5', '27', '122', '155', '12']
['朔州', '110', '51', '139', '0.96', '23', '171', '169', '19']
['松原', '111', '59', '170', '1.05', '53', '116', '167', '8']
['烟台', '111', '40', '74', '0.65', '10', '163', '171', '8']
['泰安', '113', '25', '67', '0.8', '25', '129', '173', '31']
['滨州', '116', '60', '136', '1.47', '41', '108', '176', '44']
['德州', '116', '29', '85', '0.63', '18', '152', '176', '11']
['平度', '116', '43', '72', '0.75', '18', '124', '176', '8']
['七台河', '116', '51', '105', '0.47', '15', '139', '176', '13']
['莱芜', '119', '33', '79', '0.73', '18', '141', '179', '13']
['内江', '119', '82', '185', '1.13', '90', '38', '166', '20']
['宜宾', '119', '56', '112', '1.23', '71', '97', '179', '24']
['运城', '119', '55', '111', '0.86', '16', '159', '179', '20']
['沧州', '121', '38', '91', '0.6', '28', '151', '182', '23']
['章丘', '121', '29', '68', '0.55', '15', '149', '181', '13']
['淄博', '121', '43', '104', '1.1', '31', '141', '182', '16']
['锦州', '122', '71', '102', '1.08', '28', '181', '183', '25']
['通辽', '122', '92', '142', '0.97', '21', '175', '143', '19']
['威海', '122', '31', '59', '0.57', '10', '138', '183', '7']
['廊坊', '125', '41', '108', '0.75', '30', '144', '186', '11']
['成都', '126', '50', '95', '1.06', '90', '91', '187', '12']
['哈尔滨', '126', '70', '199', '0.94', '29', '109', '145', '11']
['东营', '128', '66', '153', '1.3', '19', '136', '189', '23']
['泰州', '128', '97', '172', '2.53', '62', '74', '153', '13']
['金坛', '129', '40', '86', '1.0', '22', '140', '190', '15']
['保定', '131', '42', '97', '0.57', '28', '125', '192', '11']
['阜新', '131', '68', '150', '0.94', '20', '176', '193', '21']
['晋城', '131', '48', '114', '0.92', '19', '142', '192', '18']
['溧阳', '131', '55', '73', '1.4', '32', '145', '192', '18']
['秦皇岛', '131', '60', '121', '1.12', '30', '185', '193', '14']
['石嘴山', '131', '49', '138', '0.9', '42', '141', '192', '29']
['忻州', '133', '91', '171', '1.43', '41', '179', '195', '19']
['葫芦岛', '137', '72', '100', '1.27', '18', '188', '199', '10']
['巴中', '139', '106', '168', '1.23', '46', '50', '98', '7']
['宜兴', '141', '35', '63', '0.9', '18', '132', '204', '16']
['眉山', '142', '41', '87', '0.7', '71', '112', '205', '13']
['绥化', '143', '109', '139', '0.85', '18', '105', '147', '7']
['太原', '147', '96', '242', '1.25', '115', '67', '192', '40']
['潍坊', '147', '69', '107', '0.88', '25', '170', '210', '13']
['自贡', '151', '60', '103', '1.2', '64', '159', '215', '14']
['北京', '157', '67', '114', '0.83', '36', '129', '221', '4']
['阿克苏地区', '159', '33', '265', '0.35', '13', '115', '124', '5']
['承德', '160', '66', '168', '1.22', '50', '171', '224', '14']
['哈密地区', '160', '21', '267', '0.6', '26', '119', '120', '4']
['朝阳', '161', '122', '176', '1.63', '35', '137', '184', '37']
['晋中', '161', '93', '270', '1.23', '68', '86', '163', '29']
['和田地区', '169', '71', '285', '0.9', '84', '34', '91', '42']
['张家口', '177', '90', '207', '1.4', '23', '227', '241', '13']
['阳泉', '189', '128', '207', '1.9', '22', '216', '253', '26']
['锡林郭勒盟', '207', '17', '354', '0.4', '12', '99', '97', '4']
['吐鲁番地区', '362', '53', '468', '0.4', '10', '61', '63', '7']
